iter	MAE
0	4446.580203
1	4412.211354
2	4378.580506
3	4347.204145
4	4313.76303
5	4280.332466
6	4246.238156
7	4214.298993
8	4184.098694
9	4151.567029
10	4122.794048
11	4092.850795
12	4062.461424
13	4031.67672
14	4000.925665
15	3971.275803
16	3942.18698
17	3913.83034
18	3886.329476
19	3858.009967
20	3829.942428
21	3802.087446
22	3774.92235
23	3749.335049
24	3721.479666
25	3693.204363
26	3668.307534
27	3640.900219
28	3615.0202
29	3589.61102
30	3564.59628
31	3539.410795
32	3514.749121
33	3490.769686
34	3466.443438
35	3442.75715
36	3417.915039
37	3393.349303
38	3371.328034
39	3349.74902
40	3327.583042
41	3304.475609
42	3281.92439
43	3258.650528
44	3237.729227
45	3216.429711
46	3194.681597
47	3174.625907
48	3154.188933
49	3133.362346
50	3112.249136
51	3092.99749
52	3073.25865
53	3052.213584
54	3033.576182
55	3012.18187
56	2990.861029
57	2970.04757
58	2948.866102
59	2929.683668
60	2909.20696
61	2890.14892
62	2871.340821
63	2852.848893
64	2834.192855
65	2815.107603
66	2797.772176
67	2779.816598
68	2761.102344
69	2742.587449
70	2724.663717
71	2710.293071
72	2693.591324
73	2676.065212
74	2659.043199
75	2642.408895
76	2626.495704
77	2610.993778
78	2595.007373
79	2578.812126
80	2564.857875
81	2550.597222
82	2535.385739
83	2520.19806
84	2505.141357
85	2489.607846
86	2475.056997
87	2461.186316
88	2447.722393
89	2434.131814
90	2419.609622
91	2405.017444
92	2390.52732
93	2375.711553
94	2360.703606
95	2347.011868
96	2334.296236
97	2321.581906
98	2308.352373
99	2295.572712
100	2282.694195
101	2269.13228
102	2256.941871
103	2245.006183
104	2232.757725
105	2219.967712
106	2207.821057
107	2194.072465
108	2182.144969
109	2170.167013
110	2157.775851
111	2146.727438
112	2134.807556
113	2123.759005
114	2112.166429
115	2100.499815
116	2088.633767
117	2078.138175
118	2066.725473
119	2057.780907
120	2047.637582
121	2037.609043
122	2026.054598
123	2014.145269
124	2003.132578
125	1992.889917
126	1982.611574
127	1973.158363
128	1962.145976
129	1951.441604
130	1940.459417
131	1931.190172
132	1922.120199
133	1911.823306
134	1902.251369
135	1893.263471
136	1884.682993
137	1875.545619
138	1866.452904
139	1857.221816
140	1849.650852
141	1840.085179
142	1830.105288
143	1820.22803
144	1810.941297
145	1801.589335
146	1792.935763
147	1783.920499
148	1775.881344
149	1766.951922
150	1757.91839
151	1749.766857
152	1741.776506
153	1734.415485
154	1726.181969
155	1720.062511
156	1712.279295
157	1705.128134
158	1697.40669
159	1689.121884
160	1681.984181
161	1674.997572
162	1666.584818
163	1659.441833
164	1652.704892
165	1645.742201
166	1639.02035
167	1632.734198
168	1626.005133
169	1620.306012
170	1612.920447
171	1607.340284
172	1600.110725
173	1593.389573
174	1585.517496
175	1579.162251
176	1571.899894
177	1564.847014
178	1558.991806
179	1552.918584
180	1546.999147
181	1540.872116
182	1534.308745
183	1527.725415
184	1521.980337
185	1516.457761
186	1511.166512
187	1505.47742
188	1499.593034
189	1494.522112
190	1489.092915
191	1483.44372
192	1477.174665
193	1471.68335
194	1465.875884
195	1460.358224
196	1454.869169
197	1449.077802
198	1444.06881
199	1439.654925
200	1435.081846
201	1429.710828
202	1424.181103
203	1418.987923
204	1414.136924
205	1410.064673
206	1405.591969
207	1400.187519
208	1396.048125
209	1390.883527
210	1385.861467
211	1381.199501
212	1376.553409
213	1372.388415
214	1367.762079
