iter	Passed	Remaining
0	312	31250980
1	499	24993932
2	676	22564687
3	859	21491103
4	1034	20682894
5	1225	20422922
6	1405	20071079
7	1585	19823335
8	1777	19753371
9	1958	19584965
10	2149	19539378
11	2322	19355718
12	2518	19369970
13	2691	19224078
14	2887	19244304
15	3055	19090827
16	3234	19023240
17	3400	18888425
18	3590	18893453
19	3768	18837907
20	3953	18820533
21	4130	18770090
22	4311	18739646
23	4486	18689148
24	4680	18718847
25	4854	18665559
26	5040	18664337
27	5211	18606132
28	5402	18625128
29	5582	18603840
30	5768	18602900
31	5946	18578388
32	6132	18575781
33	6295	18510654
34	6464	18464154
35	6630	18412192
36	6792	18350356
37	6953	18290757
38	7130	18274990
39	7292	18222717
40	7459	18186390
41	7621	18138335
42	7801	18135775
43	7970	18107224
44	8155	18114736
45	8321	18082921
46	8497	18072350
47	8662	18039102
48	8834	18020342
49	9006	18004207
50	9197	18025123
51	9368	18007150
52	9537	17985952
53	9702	17957188
54	9883	17959331
55	10039	17918013
56	10247	17968212
57	10415	17946912
58	10593	17943661
59	10762	17927184
60	10931	17909500
61	11108	17906381
62	11301	17928102
63	11454	17886031
64	11640	17896300
65	11816	17892704
66	11985	17876777
67	12149	17854261
68	12333	17862866
69	12508	17857129
70	12671	17834930
71	12850	17834614
72	13023	17827097
73	13187	17808288
74	13378	17825142
75	13553	17819400
76	13719	17803227
77	13889	17793616
78	14060	17783859
79	14226	17768869
80	14402	17766226
81	14581	17767185
82	14759	17767664
83	14926	17754226
84	15090	17738772
85	15254	17722482
86	15436	17727429
87	15600	17711737
88	15793	17729546
89	15961	17719561
90	16142	17722382
91	16312	17714798
92	16494	17719899
93	16648	17694377
94	16836	17706213
95	17005	17696538
96	17171	17685141
97	17335	17672411
98	17518	17678177
99	17691	17673892
100	17870	17675781
101	18020	17649576
102	18191	17643256
103	18358	17634405
104	18537	17636109
105	18704	17626965
106	18883	17629002
107	19055	17625129
108	19224	17618262
109	19378	17597191
110	19558	17600555
111	19709	17578132
112	19884	17576808
113	20044	17562739
114	20208	17552208
115	20372	17542511
116	20559	17551717
117	20736	17552516
118	20905	17546418
119	21063	17532190
120	21239	17532438
121	21407	17525469
122	21582	17524870
123	21747	17516824
124	21925	17518625
125	22086	17507003
126	22258	17503755
127	22415	17489998
128	22586	17486356
129	22753	17480249
130	22912	17467261
131	23079	17461028
132	23253	17460663
133	23407	17444945
134	23578	17441717
135	23732	17426490
136	23898	17420068
137	24056	17408487
138	24239	17413928
139	24405	17408244
140	24576	17405846
141	24742	17399643
142	24915	17398458
143	25080	17392230
144	25265	17399541
145	25429	17392117
146	25598	17388226
147	25765	17383081
148	25937	17382068
149	26099	17373390
150	26271	17372124
151	26434	17364733
152	26602	17360932
153	26761	17351027
154	26941	17354395
155	27092	17339635
156	27263	17338257
157	27437	17338036
158	27616	17341104
159	27781	17335593
160	27959	17337966
161	28122	17331195
162	28292	17329304
163	28452	17320365
164	28613	17313042
165	28768	17301659
166	28926	17292588
167	29091	17287248
168	29269	17289907
169	29434	17285188
170	29603	17282345
171	29761	17273333
172	29924	17267257
173	30086	17261281
174	30260	17261182
175	30428	17258564
176	30594	17254307
177	30749	17244121
178	30913	17239159
179	31068	17229150
180	31233	17225095
181	31399	17221205
182	31563	17216143
183	31728	17211856
184	31891	17206782
185	32053	17200806
186	32243	17210297
187	32413	17208769
188	32577	17204347
189	32737	17197544
190	32928	17207275
191	33093	17202902
192	33262	17201178
193	33422	17194624
194	33599	17197086
195	33760	17190943
196	33941	17195268
197	34092	17184285
198	34254	17178876
